,Astro,CA1sp,CA1sp.SUB.sp.Kcnip1,CA2sp.IG,CA3sp,Car3,CR,DG,Endo,IT.RHP.Dcn,L2.3.IT.Cdc14a,L2.3.IT.Cxcl14,L2.3.IT.Ndst4.Endou,L2.3.IT.Otof,L2.3.IT.Plch1,L4.IT,L4.5.IT,L5.ET,L5.IT,L6.CT,L6.IT,L6b,Lamp5,Lamp5.Lhx6,Ly6g6e,Macrophage,Meis2,NP,Oligo,PIR.Six3,POST.PRE.PAR.Ptgfr,Pvalb,RHP.Cplx3,RSP_ACA.IT.Scnn1a,RSP.ACA.L4.5.IT,Serpinf1,SMC,Sncg,Sncg.Ndnf.HPF,Sst,Sst.Chodl,SUB.Sp.Ndst4,Vip,VLMC
FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1,0.06710533471837467,0.004087163984337217,0.001682006208428567,0.0,0.05648220101597936,0.0,0.0,0.0,0.018328056408539337,0.03747252786162196,0.0,0.0,0.032130560745404706,0.04533685930373069,0.02866196705832494,0.0659526996236848,0.08646811025924404,0.10419042109616825,0.0,0.011881519869405933,0.0,0.0,0.09997510507536815,0.0,0.0,0.002560790042579523,0.0,0.0,0.04566829324834929,0.07660465822257655,0.0,0.05735082747529871,0.02443799957228745,0.0,0.0,0.025450718452158978,0.0,0.0327115683604606,0.0,0.01914564155164259,0.009399670811827795,0.0,0.03570968207891954,0.01120561695528636
FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1,0.07075437349588506,0.0,0.0010838993255252846,0.0,0.05882002569326884,0.0,0.0,0.0,0.021663497048985497,0.039022933859771285,0.0,0.0,0.031634906439507594,0.053134487183677914,0.031016135855290162,0.05436997935769001,0.08239086876585668,0.09369429984728549,0.0,0.011890583060837784,0.0,0.0,0.09444785508675384,0.0,0.0,0.0006401788544917442,0.0,0.0,0.04944003362396645,0.07990538310607066,0.0,0.05924573186082718,0.021806517518622743,0.0,0.0,0.024759341768379715,0.0,0.03899988767266416,0.0,0.019080514089097025,0.010572593933272145,0.0,0.04162358991083819,0.010002382641434347
FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1,0.0695644435163126,0.0,0.0,0.0,0.04981675513945689,0.0,0.0,0.0,0.01906922889767085,0.04857627116452595,0.0,0.0,0.026602130175042316,0.045862511118880886,0.03150224940445659,0.044741198016524056,0.10283101593132997,0.09863782960101387,0.0,0.004760589441334604,0.0,0.0,0.10046152295791186,0.0,0.0,0.004438549703321256,0.0,0.0,0.04744346195255652,0.08398883019242909,0.0,0.05315539270358496,0.027738727439978732,0.0,0.0,0.03906429542281344,3.6854721788886665e-05,0.030379226516425068,0.0,0.021965627639784935,0.012694217211782025,0.0,0.02823466933652144,0.008434401794553521
FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1,0.06986314913102366,0.0,0.005268596179776357,0.0,0.055211220614868266,0.0,0.0,0.0,0.015037028645921113,0.0353485315630146,0.0,0.0,0.027369280620676277,0.04699206408235036,0.024740145038784335,0.053997521880992536,0.1085951551524298,0.0968536137246589,0.0,0.004649816434202816,0.0,0.0,0.09682807496126596,0.0,0.0,0.0015104264391660796,0.0,0.0,0.044642536285986495,0.08744554930262041,0.0,0.057808989483465835,0.022325098883528516,0.0,0.0,0.022410675647067835,0.001831850580512176,0.04246564363169918,0.0,0.017997131720967473,0.015667106788374345,0.0,0.033367397957590444,0.011773395249056509
FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1,0.06763373498315975,0.0,0.015173523730560733,0.0,0.05208637803834973,0.001953893163362234,0.0,0.0,0.018913283903478198,0.04249751977071537,0.0,0.0,0.027982925634603136,0.0485930076256652,0.021422603721352875,0.05700327070764675,0.10625841785079955,0.08605231897893466,0.0,0.0073777092108157465,0.0,0.0,0.0809613382438632,0.0,0.0004800860091763297,0.0006919395968358392,0.0,0.0,0.05345146986008798,0.07595252350089624,0.006563397943156463,0.05568752864857365,0.03098980600022006,0.0,0.0,0.02841443063291135,0.0,0.03656111250604242,0.0,0.023880927839718624,0.011714697007054471,0.0,0.031809501847870736,0.009892653044148663
FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1,0.06667156430539603,0.00973902378252604,0.002171980907054242,0.0,0.0479259342468921,0.0,0.0,0.0,0.016103012324927432,0.04128841982329202,0.0,0.0,0.032154602731914804,0.04812826919312359,0.018644226618832145,0.05441751337386057,0.1017434499592578,0.09834816974183964,0.0,0.0062339448144341095,0.0,0.0,0.09166278120020897,0.0,0.0,0.0017901950103309272,0.0,0.0,0.043258425180252934,0.08614061861014195,0.0006487318304468144,0.04924534711092118,0.027613117310817805,0.0,0.0,0.026260616928725552,0.0,0.048391412100858046,0.0,0.027641278122443585,0.011959928532949105,0.0,0.03153115860037117,0.010286277638181478
FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1,0.07061652872207455,0.004109479534484232,0.0,0.0,0.051340586593193974,0.0,0.0,0.0,0.019477531404538482,0.03852262243761618,0.0,0.0,0.030049862760199678,0.05419778700188807,0.02785632000051267,0.05450575243896404,0.08621561007405573,0.10237048154873986,0.0,0.006702417585818009,0.0,0.0,0.09715504382875051,0.0,0.0,0.004882745701264334,0.0,0.0,0.04175749926462985,0.07877491161719014,0.0,0.058262646522086174,0.03053976646765426,0.0,0.0,0.02893138561248007,0.0,0.0346859118780267,0.0,0.021231055092958712,0.015168344381137538,0.0,0.03391199124312836,0.008733718288607636
FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1,0.07168467598543915,0.0,0.0013125751891855928,0.0,0.05974169564230352,0.0016054233496695465,0.0,0.0,0.022083408258139734,0.05665226248573342,0.0,0.0,0.01982995591420636,0.034855798823637256,0.01980054891915587,0.05226468392561141,0.10645594017240843,0.09577785424332555,0.0,0.0038388581658206715,0.0,0.0,0.09840343873062679,0.0,0.0,0.002602146309474256,0.0,0.0,0.04593976798896568,0.08849739006748804,0.0,0.050409155403234825,0.03329764760485773,0.0,0.0,0.03413730899251472,0.0031706928167795725,0.030174429855015856,0.0,0.024913938237895502,0.013578855201830138,0.0,0.023648857583268804,0.005322690133411794
FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1,0.06432808420526817,0.0012632897295707533,0.0,0.0,0.06124998792840305,0.0,0.0,0.0,0.016827215498915218,0.05729622937226001,0.0,0.0,0.022226524332007135,0.03855271074156529,0.025675159242429076,0.05834467133905673,0.09838475231357026,0.10485833900303343,0.0,0.0,0.0,0.0,0.09759288746641175,0.0,0.0,0.004841721392765618,0.0,0.0,0.04827939032043399,0.07739106918549209,0.0,0.06260376606970292,0.022813027999125376,0.0,0.0,0.024168647798827582,0.0,0.036047992597870775,0.0,0.008886693758493833,0.016300758985510456,0.0,0.039601227750562976,0.012465852968723259
FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1,0.06689439565678992,0.007774205185134229,0.0012265784756604048,0.0,0.05356075991529211,0.0,0.0,0.0,0.018766335664071983,0.042867107582038155,0.0005157516471792058,0.0,0.030699839825594998,0.05015754608796491,0.01379630729793361,0.0471975671505808,0.09962790217477706,0.10255591910915411,0.0,0.004010203848366719,0.0,0.0,0.08856469686080592,0.0,0.0,0.001561934571681723,0.0,0.0,0.04906690765334378,0.0866618085415869,0.0,0.06245426796528757,0.03364328988692932,0.0,0.0,0.030142591005500576,0.0,0.0392004696642544,0.0,0.014052965297389797,0.016687286458830934,0.0,0.03188855285247773,0.006424809621373245
